Date, GC4 Temp Start, GC4 Temp Post-EPI1, GC4 Temp Post-EPI2, GC4 Temp Post-EPI3
03/16/26, 20.1, 22.8, 22.9, 24.1
03/23/26, 20.1, 22.9, 23.1, 24.3
03/30/26, 19.6, 22.3, 22.6, 23.8
04/06/26, 19.8, 22.5, 22.8, 24.0
04/13/26, 19.8, 22.5, 22.8, 24.0
04/20/26, 20.0, 22.6, 22.9, 24.1
04/27/26, 19.8, 22.5, 22.6, 23.5
05/04/26, 19.5, 22.1, 22.4, 23.8
05/11/26, 19.5, 22.3, 22.4, 23.8
05/18/26, 19.5, 22.3, 22.6, 23.9
05/26/26, 20.9, 23.1, 22.8, 24.1
06/01/26, 19.6, 22.4, 22.6, 23.9
06/08/26, 19.5, 22.4, 22.3, 23.8
06/15/26, 19.6, 22.3, 22.6, 23.9
06/22/26, 20.9, 20.8, 22.3, 23.9
06/29/26, 19.4, 22.1, 22.4, 23.8
07/06/26, 19.5, 22.3, 22.4, 23.8
07/15/26, 20.0, 22.4, 22.5, 23.9
07/21/26, 19.6, 22.5, 22.8, 23.9
07/28/26, 19.8, 22.4, 22.6, 23.9
08/03/26, 19.7, 22.4, 22.6, 23.9
08/10/26, 19.6, 22.3, 22.5, 23.8
08/17/26, 19.8, 22.4, 22.8, 24.0
08/24/26, 19.6, 22.4, 22.6, 23.9
08/31/26, 19.6, 22.4, 22.6, 23.9
09/09/26, 19.4, 22.3, 22.5, 23.8

09/14/26, 20.8, 22.9, 23.0, 24.1
